1H;1st Half
ILCLP;IdentLogic Systems Customer Loyalty Program
IMF;International Monetary Fund
IMP;Import
Inc.;Incorporated
IoT;Internet of Things
IPO;Initial public offering
IPT;Item Per Transaction
IR;Interest Rate;typically referring to an IR derivative product
IRS;Internal Revenue Service
IRR;Internal Rate of Return
ISIN;International Securities Identification Number
ISM;Institute of Supply Management
ITT;Invitation to tender
IYR;In Year Revenue
J;Journal
JIT;Just in time
JIS;Just in sequence
JST;Joint Supervisory Team
K;Is used as an abbreviation for 1,000
Ke;Is used as an abbreviation for Cost of Equity (COE)
KIBOR;Karachi Interbank Offered Rate
KPI;Key Performance Indicator
KYC;Know Your Customer
LBO;Leveraged Buyout
LC;Letter of credit
LIBOR;London Interbank Offered Rate
LE;Latest Estimate
LIFFE;London International Financial Futures and Options Exchange
LIFO;Last In, First Out
LLC;Limited Liability Company
LME;London Metal Exchange
LMS;Learning Management System
Ltd.;Limited Company
LTV;Loan to Value
LOI;Letter of intent
LoU;Letters of Undertaking
LY;Last Year
MBS;mortgage-backed security
mfg.;Manufacturing
MGMT;Management
MIC;Market Identifier Code
MiFID;Markets in Financial Instruments Directive
MILE;Maximum impact, little effort [10]
MoM;Month on Month / Month over Month
MOQ;Minimum Order Quantity
MOU;Memorandum of understanding
MPC;marginal propensity to consume
MRO;Maintenance, Repair, and Operations
MRP;Maximum Retail Price
MSOD;Monthly Statement of Select Operational Data
MSRP;Manufacturer's Suggested Retail Price
MTD;Month-to-date
MWC;Managerial Working Capital
MPR;Monthly Progress Report
NAV;Net asset value
NCBO;No Change of Beneficial Ownership
NCND;Non-Circumvent and Non-Disclosure
NDA;Non-Disclosure Agreement
NII;Net Interest Income
NIM;Net Interest Margin
NNTO;No Need To Open
NOA;Net Operating Assets
NOI;Net Operating Income
NOPAT;Net Operating Profit After Tax
NPA;Non Performing Asset
NPL;Non-performing loan
NPV;Net Present Value
NTE;Not To Exceed
NYMEX;New York Mercantile Exchange
NYSE;New York Stock Exchange
NFO;New Fund Offer
OC;Opportunity Cost
OCF;Operating cash flow
OECD;Organisation for Economic Co-operation and Development
OEM;Original Equipment Manufacturer
OIBDA;Operating Income Before Depreciation And Amortization
OKR;Objectives and key results
OOF;Out of Facility, used interchangeably with Out of Office and originating from the Microsoft Xenix mail system
OOO;Out of Office
OPEX;Operating Expenditure or Operational Expenditure
OTIF;On Time In Full
OTC;Over-the-counter (finance)
P&L;Profit and Loss
P2B;Platform to Business
PA;Purchasing agent or Personal Assistant
PA;Promotional Activity
PAT;Profit After Tax
PBT;Profit Before Tax
P/E;Price-to-earnings ratio
PE;Private Equity
PEG;Price-to-earnings growth ratio
PHEK;Planherstellungskosten (Product Planning cost)
PFI;Private Finance Initiative
PI or PII;Professional Indemnity (insurance coverage)
PII;Personally identifiable information
pip;Percentage in point
PMAC;Period Moving Average Cost
PO;Profit Objective or Purchase Order
POA;Plan Of Action
POS;Point of sale
PP&E;Property, plant, and equipment
PPP;Public-private partnership
PPP;Purchasing power parity
PPT;Powerpoint presentation
PR;Purchase Requisition
PTD;Project to Date
PLR;Prime Lending Rate
PWIN;Percent win (a measure of performance of capture when bidding for contracts with a targeted customer base such as bidding for government contracts)
Q1, Q2, Q3, Q4;quarters of the accounting year, calendar year or fiscal year
QC;Quality control or Quality costs
QoQ;Quarter on quarter
q/q;Quarter on quarter
QTD;Quarter-to-date
RAQSCI;Regulatory, Assurance of Supply, Quality, Service, Cost, Innovation (see RAQSCI)
RBI;Reserve Bank of India
RBA;Reserve Bank of Australia
RE;Retained Earnings
RFI;Request for information
RFP;Request for Proposal
RFQ;Request for Quotation
RFX;Generic name for a Request for Information, Proposal or Quotation
ROA;Return on assets
ROB;Return on brand
ROC;Registration Of Company
ROCE;Return on Capital Employed
ROE;Return on Equity
ROI;Return on Investment
ROIC;Return on Invested Capital
RONA;Return on net assets
ROS;Return on Sales
RR;Resource rent
RSP;Retail selling price
RWA;Risk-weighted asset
R&D;Research and Development
RC;Retail Company
St;Sales, during time period t.
S&M;Sales & Marketing
SLR;Statutory Liquidity Ratio
S&OP;Sales and operations planning
SAAS;Software-as-a-Service
SBU;Strategic Business Unit
SBLC;Stand By Letter of Credit
SCM;Supply Chain Management
SCBA;Social Cost Benefit Analysis
SEBI;Securities and Exchange Board of India
SEC;Securities and Exchange Commission
SEDOL;Stock Exchange Daily Official List
SG&A;Sales, General, and Administrative expenses
SIOP;Sales Inventory and Operations Plan
SIR;Stores Issuance Requisition
SIV;Structured investment vehicle
SKU;Stock keeping unit
SLA;Service Level Agreement
SME;Small and Medium Enterprises
SOHO;Small Office/Home Office
SOP;Standard Operating Procedure
SOW;Statement of Work
SOX;Sarbanes-Oxley
SROI;Social return on investment
STP;Situation Target Proposal or Situation Target Path
SUA;Start Up Agreement
SWOT;Strengths, Weaknesses, Opportunities, Threats
TB;Transaction Banking
TBC;To Be Completed
TBD;To Be Defined
TCO;Total Cost of Ownership
TCV;Total Contract Value
TOTW;Time Off for Time Worked
TQM;Total Quality Management
TSR;Total Shareholder Return
TTM- Trailing Twelve Months
TVM;Time Value of Money
Ts & Cs;Terms and Conditions
USP;Unique Selling Proposition
UPI;Unified Payment Interface
VAD;Value-Added Distributor
VaR;Value at Risk
VAR;Value-Added Reseller
VAT;Value-Added Tax
VC;Venture Capital
VP;Vice President
WACC;Weighted average cost of capital
WC;Working capital
WFH;Work From Home
wk;week
wrk;work
wo;work order
WOGs;With other Goods
WIGs;Wildly Important Goals
wasp;weighted average selling price
WLL;With Limited Liability
w.r.t;With Respect To
WTI;West Texas Intermediate
WVN;Withdraw Voucher Note
WHT;Withholding Tax
WTO;World Trade Organization
WTD;Week-To-Date
WW;World Wide
YTD;Year-to-date
YTG;Year-to-go
YOY;Year-over-year
YTC;Yet-To-Confirm
FYF;Full Year Forecast
ZBB;Zero Based Budgeting
zcyc;Zero Coupon Yield Curve
ZOPA;Zone of Possible Agreement
